Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
685423040,20597361,145,,,,,,,,,,6.799,326.330,Pageable,Device,Tesla T4 (0),1,,7,[CUDA memcpy Host-to-Device]
706042480,512,147,,,,,,,,,,0.000,15.625,Pageable,Device,Tesla T4 (0),1,,7,[CUDA memcpy Host-to-Device]
706508743,704435,166,,,,,,,,,,8.389,11903.435,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
707218074,67774,168,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
707290040,640212,169,,,,,,,,,,8.389,13094.617,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
707936780,687250,170,,,,,,,,,,8.389,12205.425,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
708633566,67263,172,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
708708860,639860,173,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
709360112,684179,174,,,,,,,,,,8.389,12255.756,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
710049411,66078,176,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
710116577,640564,177,,,,,,,,,,8.389,13094.617,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
710769141,689234,178,,,,,,,,,,8.389,12163.482,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
711467943,65951,180,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
711535814,639668,181,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
712183225,684371,182,,,,,,,,,,8.389,12255.756,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
712877964,67838,184,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
712953259,640403,185,,,,,,,,,,8.389,13094.617,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
713605566,696402,186,,,,,,,,,,8.389,12037.652,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
714312560,66047,188,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
714386831,640819,189,,,,,,,,,,8.389,13086.228,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
715035010,689779,190,,,,,,,,,,8.389,12155.093,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
715728597,69022,192,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
715805043,639636,193,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
